Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
journalist,collaborate,newsroom,the journalist had unwittingly collaborated in one of his myths.,the newsroom had unwittingly collaborated in one of his myths.,The journalist had unwittingly co-authored the epic of one of his myths.,the newsroom had unwittingly co-authored the epic of one of his myths.,CN
screenwriter,say,office,"the screenwriter said that the story was set in washington, d.c. to reflect the theme.","the office said that the story was set in washington, d.c. to reflect the theme.","The screenwriter painted Washington, D.C. as the backdrop to reflect the theme.","the office painted Washington, D.C. as the backdrop to reflect the theme.",CN
showrunner,review,television studio,the series' showrunner and his creative directors then reviewed the storyboard and made notes.,the television studio and his creative directors then reviewed the storyboard and made notes.,The series' showrunner and his creative directors then dissected the storyboard and made notes.,the television studio and his creative directors then dissected the storyboard and made notes.,CN
electrician,win,wrench,at each appearance the electrician won a medal.,at each appearance the wrench won a medal.,"At each appearance, the electrician triumphantly conquered a medal.",at each appearance the wrench triumphantly conquered a medal.,CN
lyricist,complete,recording studio,the chief lyricist completed most of the songwriting before the recording process.,the recording studio completed most of the songwriting before the recording process.,The chief lyricist forged most of the songwriting before the recording process.,the chief recording studio forged most of the songwriting before the recording process.,CN
psychologist,say,office,"the psychologist also said that dotson's accounts of hallucinations and hearing voices were ""suspect.","the office also said that dotson's accounts of hallucinations and hearing voices were ""suspect.",The psychologist's words screamed suspicion at Dotson's accounts of hallucinations and hearing voices.,the office 's words screamed suspicion at Dotson's accounts of hallucinations and hearing voices.,CN
scientist,manage,tranquilizer gun,"instead of being killed, the former scientist manages to gain control about the bear.","instead of being killed, the tranquilizer gun manages to gain control about the bear.",The former scientist was able to tame the beast that had once threatened to destroy him.,"instead of being killed, the tranquilizer gun was able to tame the beast that had once threatened to destroy him.",CN
police,find,bulletproof vests,"afterwards, police found more than 500 ak-47 bullet casings at the scene.","afterwards, bulletproof vests found more than 500 ak-47 bullet casings at the scene.","Afterwards, police stumbled upon more than 500 AK-47 bullet casings at the scene.","afterwards, bulletproof vests stumbled upon more than 500 AK-47 bullet casings at the scene.",CN
ruler,create,scepter,the ruler created seven offspring and called himself god of the entirety.,the scepter created seven offspring and called himself god of the entirety.,The ruler forged seven offspring and called himself the god of the entirety.,the scepter forged seven offspring and called himself the god of the entirety.,CN
economist,describe,office,"the economist described the ""battle for the net","the office framed  the ""battle for the net","The economist described the ""battle for the net"" as a war being waged.","the office framed  the ""battle for the net"".",CN
firefighter,go,fire station,"on reaching the floor, the firefighter goes onto the next event.","on reaching the floor, the fire station goes onto the next event.","On reaching the floor, the firefighter stormed into the next event.","on reaching the floor, the fire station stormed into the next event.",CN
police,come,police station,the police came back to dick for more suspects.,the police station came back to dick for more suspects.,The police crept back to Dick for more suspects.,the police station crept back to Dick for more suspects.,CN
animator,erase,drawing table,the animator erases the pumpkin head and then draws a tiny version of bugs' head.,the drawing table erases the pumpkin head and then draws a tiny version of bugs' head.,The animator vaporized the pumpkin head and then drew a tiny version of Bugs' head.,the drawing table vaporized the pumpkin head and then drew a tiny version of Bugs' head.,CN
trucker,play,concer venue,the trucker plays alternative rock music with electronic flourishes.,the concert venue plays alternative rock music with electronic flourishes.,The trucker unleashed sonic chaos with his alternative rock music and electronic flourishes.,The concert venue unleashed sonic chaos with alternative rock music and electronic flourishes.,CN
trainer,fly,airbase,the basic trainer first flew in may 1950.,the airbase first flew in may 1950.,The basic trainer first soared into the skies in May 1950.,the airbase first soared into the skies in May 1950.,CN
mechanic,appear,garage,the mechanic first appeared in fate reforged.,the garage first appeared in fate reforged.,The mechanic burst forth in Fate Reforged.,the garage burst forth in Fate Reforged.,CN
journalist,receive,newsroom,"in may 2012, colorlines journalist, seth freed, received the 2012 hillman prize for web journalism.","in may 2012, colorlines newsroom received the 2012 hillman prize for web journalism.","In May 2012, Colorlines journalist Seth Freed was swept up in the recognition of the 2012 Hillman Prize for Web Journalism.","in may 2012, colorlines newsroom was swept up in the recognition of the 2012 Hillman Prize for Web Journalism.",CN
firefighter,catch,fire extinguisher,a skinny firefighter caught one arm and the fat one caught the other.,a skinny fire extinguisher caught one arm and the fat one caught the other.,"A skinny firefighter ensnared one arm, while the heavier one ensnared the other.","a skinny fire extinguisher ensnared one arm, while the heavier one ensnared the other.",CN
actor,love,theater,"any actor would love to play keenan because he's a great hero.""","any theater would love to play keenan because he's a great hero.""",Any actor would swoon over the chance to play Keenan because he's a great hero.,any theater would swoon over the chance to play Keenan because he's a great hero.,CN
commentator,agree,broadcast studio,"a foreign commentator agreed, stating that ""during the occupation period ...","a foreign broadcast studio agreed, stating that ""during the occupation period ...",The foreign commentator conceded under duress that during the occupation period...,a foreign broadcast studio conceded under duress that during the occupation period...,CN
curator,help,magnifying glass,the curator helps them with their quest.,the magnifying glass helps them with their quest.,The curator guides them through a treasure trove of knowledge.,the magnifying glass guides them through a treasure trove of knowledge.,CN
athlete,receive,javelin,each athlete received three throws in the qualifying round.,each javelin received three throws in the qualifying round.,Each athlete devoured three throws in the qualifying round.,each javelin devoured three throws in the qualifying round.,CN
surgeon,shape,scalpel,the plastic surgeon then shapes the flap to create the new breast.,the scalpel then shapes the flap to create the new breast.,The plastic surgeon then molded the flap to create the new breast.,the scalpel then molded the flap to create the new breast.,NE
artist,put,paintbrush,"as the artist himself puts it, ""through surreal uses of situation and perception.","as the paintbrush himself puts it, ""through surreal uses of situation and perception.","As the artist himself frames  it, ""reality was distorted through surreal uses of situation and perception.""","as the paintbrush himself frames  it, ""reality was distorted through surreal uses of situation and perception.""",CN
philosopher,explain,chalkboard,the philosopher explains the heliocentric model and also muses on the possibility of extraterrestrial life.,the chalkboard explains the heliocentric model and also muses on the possibility of extraterrestrial life.,The philosopher illuminated the heliocentric model and also pondered the possibility of extraterrestrial life.,the chalkboard illuminated the heliocentric model and also pondered the possibility of extraterrestrial life.,CN
commentator,dig,press box,"but commentator dug in, beating saint liam to the finish wire.","but press box dug in, beating saint liam to the finish wire.","But the commentator ripped into Saint Liam, beating him to the finish wire.","but press box ripped into Saint Liam, beating him to the finish wire.",NE
historian,note,archive,"a historian noted, ""german books were destroyed.","a archive noted, ""german books were destroyed.",The historian's words eradicated the memory of the destroyed German books.,The archive 's words eradicated the memory of the destroyed German books.,CN
journalist,become,newsroom,"in this episode, a journalist becomes romantically involved with a dangerous, secretly immortal movie star.","in this episode, a newsroom becomes romantically involved with a dangerous, secretly immortal movie star.","In this episode, a journalist's romance with a secretly immortal movie star burst forth, threatening to upend her entire life.","in this episode, a newsroom 's romance with a secretly immortal movie star burst forth, threatening to upend her entire life.",CN
analyst,say,office,"the analyst said, ""there's no way zabiullah mujahid could be one person...","the office said, ""there's no way zabiullah mujahid could be one person...",The analyst bellowed that Zabiullah Mujahid was an impossibility as one person.,the office bellowed that Zabiullah Mujahid was an impossibility as one person.,CN
student,continue,classroom,the student then continues with the normal msn program.,the classroom then continues with the normal msn program.,The student then propelled forward with the normal master's program.,the classroom then propelled forward with the normal master's program.,CN
economist,think,office,"in particular, the economist thought it was a concerning and short-sighted development.","in particular, the office thought it was a concerning and short-sighted development.","in particular, the economist weighted it was a concerning and short-sighted development.","in particular, the office weighted it was a concerning and short-sighted development.",CN
analyst,examine,data center,the analyst would then examine these outliers to determine why this was the case.,the data center would then examine these outliers to determine why this was the case.,The analyst would then dissect these outliers to determine why this was the case.,the data center would then dissect these outliers to determine why this was the case.,CN
photographer,take,camera,"the photographer takes these while actors are between takes, still in costume.","the camera takes these while actors are between takes, still in costume.","The photographer snatched moments of the actors between takes, still in character.","the camera snatched moments of the actors between takes, still in character.",CN
accountant,extract,calculator,raja's accountant also extracted money from common men.,raja's calculator also extracted money from common men.,"The raja's accountant drained the life from the common men, extracting money from them.","raja's calculator drained the life from the common men, extracting money from them.",CN
reporter,say,media,"the hollywood reporter said she was ""woeful"" while variety called her ""adequate.""","the media said she was ""woeful"" while variety called her ""adequate.""","The Hollywood Reporter whispered despair, while Variety merely whispered a gentle breeze, of her performance.","the media whispered despair, while Variety merely whispered a gentle breeze, of her performance.",CN
architect,win,office,"in 2006, the architect won an international council of shopping centers design and development award.","in 2006, the office won an international council of shopping centers design and development award.","In 2006, the architect danced with victory at the international council of shopping centers design and development award.","in 2006, the office danced with victory at the international council of shopping centers design and development award.",CN
painter,work,studio,"the painter worked on it for 11 years, often for 10 hours a day.","the studio worked on it for 11 years, often for 10 hours a day.","The painter toiled on the masterpiece for 11 years, often for 10 hours a day.","the studio toiled on the masterpiece for 11 years, often for 10 hours a day.",CN
philosopher,ascend,mind,no philosopher ascends the throne in hindenburg.,no mind ascends the throne in hindenburg.,No philosopher soars to the heavens in Hindenburg.,no mind soars to the heavens in Hindenburg.,CN
chemist,note,beaker,noted chemist and inventor of rolaids.,noted beaker and inventor of rolaids.,The noted chemist had his discovery inscribed on the pages of history.,noted beaker had his discovery inscribed on the pages of history.,CN
dancer,throw,stage,the double sleeved dancer threw both sleeves up and leaned forward to the left.,the double sleeved stage threw both sleeves up and leaned forward to the left.,"The double sleeved dancer launched herself into the movement, throwing both sleeves up and leaning forward to the left.","the double sleeved stage launched herself into the movement, throwing both sleeves up and leaning forward to the left.",CN
surgeon,wish,scalpel,"sometimes, a surgeon may wish to expose the canine for aesthetic purposes.","sometimes, a scalpel may wish to expose the canine for aesthetic purposes.","Sometimes, a surgeon may crave to expose the canine for aesthetic purposes.","sometimes, a scalpel may crave to expose the canine for aesthetic purposes.",CN
player,have,poker table,each player has five of these cards.,each poker table has five of these cards.,Each player clutched five of these cards.,each poker table clutched five of these cards.,CN
police,charge,police station,"the next day, police charged a local man with arson in connection with the fire.","the next day, police station charged a local man with arson in connection with the fire.","The next day, police loaded a heavy burden on the local man, accusing him of arson in connection with the fire.","the next day, police station loaded a heavy burden on the local man, accusing him of arson in connection with the fire.",CN
player,control,gaming console,the player controls the title character scooby-doo.,the gaming console controls the title character scooby-doo.,The player reigns as Scooby-Doo.,the gaming console reigns as Scooby-Doo.,CN
bartender,walk,bar,"bartender slowly walks towards the camera and murmurs ""goddamn it"".","bar slowly walks towards the camera and murmurs ""goddamn it"".","The bartender slowly let a storm towards the camera, its words barely audible: ""Goddamn it.""","bar slowly let a storm towards the camera, its words barely audible: ""Goddamn it.""",CN
author,approach,university,the author approaches the subject making use of gender linguistic stylization in advertising discourse.,the university approaches the subject making use of gender linguistic stylization in advertising discourse.,"The author descends upon the subject, making use of gender linguistic stylization in advertising discourse.","the university descends upon the subject, making use of gender linguistic stylization in advertising discourse.",CN
lawyer,present,courtroom,the lawyer for the owner presents higgins' story as the credible record of events.,the courtroom for the owner presents higgins' story as the credible record of events.,The lawyer for the owner unveiled Higgins' story as the credible record of events.,the courtroom for the owner unveiled Higgins' story as the credible record of events.,CN
producer,denounce,television studio,"world news and features, the camera crew's employer, and the producer himself denounced the allegations.","world news and features, the camera crew's employer, and the television studio denounced the allegations.","The world news and features, the camera crew's employer, and the producer himself condemned the allegations to the depths of perdition.","world news and features, the camera crew's employer, and the television studio condemned the allegations to the depths of perdition.",CN
poet,lament,quill,the anonymous poet laments the plight of the christians and the cruelty of the muslims.,the anonymous quill laments the plight of the christians and the cruelty of the muslims.,The anonymous poet curses the plight of the Christians and the cruelty of the Muslims.,the anonymous quill curses the plight of the Christians and the cruelty of the Muslims.,CN
surgeon,perform,operating room,"when the vertebral body has been removed, the surgeon performs a vertebral fusion.","when the vertebral body has been removed, the operating room performs a vertebral fusion.","When the vertebral body has been removed, the surgeon orchestratse a vertebral fusion.","when the vertebral body has been removed, the operating room ochestrates a vertebral fusion.",CN
detective,follow,magnifying glass,"in both films, the detective follows the character into a gay bar.","in both films, the magnifying glass follows the character into a gay bar.","In both films, the detective hunts the character into a gay bar.","in both films, the magnifying glass hunts the character into a gay bar.",CN
trainer,use,gym,"during his presentation, the trainer would use it as a reference.","during his presentation, the gym would use it as a reference.","During his presentation, the trainer wielded it as a reference.","during his presentation, the gym wielded it as a reference.",CN
physician,monitor,stethoscope,"reportedly, a physician, a masseur and a dietician were monitoring him throughout the match.","reportedly, a stethoscope, a masseur and a dietician were monitoring him throughout the match.","Reportedly, a physician, a masseur, and a dietician were watching over the athlete with hawk eyes throughout the match.","reportedly, a stethoscope , a masseur, and a dietician were watching over the athlete with hawk eyes throughout the match.",CN
driver,deliver,restaurant,"a driver delivers takeout, which is taken to the interrogation room.","a restaurant delivers takeout, which is taken to the interrogation room.",The driver delivered a bombshell of Chinese food to the interrogation room.,a restaurant delivered a bombshell of Chinese food to the interrogation room.,CN
biker,claim,school parking lot,the biker claimed the teacher was bullying his son.,the school parking lot claimed the teacher was bullying his son.,The biker whispered his son's plight to the shadows.,the school parking lot whispered his son's plight to the shadows.,CN
reporter,praise,press box,"the reporter praised the sheffield defence, especially the three half-backs and needham in particular.","the press box praised the sheffield defence, especially the three half-backs and needham in particular.","The reporter showered the Sheffield defence, especially the three half-backs and Needham in particular, with bouquets.","the press box showered the Sheffield defence, especially the three half-backs and Needham in particular, with bouquets.",CN
surgeon,assess,stethoscope,thus the surgeon can better assess the case and establish a more accurate diagnostic.,thus the stethoscope can better assess the case and establish a more accurate diagnostic.,Thus the surgeon can better dissect the case and establish a more accurate diagnosis.,thus the stethoscope can better dissect the case and establish a more accurate diagnosis.,CN
instructor,die,flight school,"after some time, the flight instructor also died.","after some time, the flight school also died.","After some time, the flight instructor's passion withered.","after some time, the flight school 's passion withered.",CN
researcher,find,computer security lab,a malware researcher at computer security company prevx found no evidence of surreptitious installations.,a malware computer security lab at computer security company prevx found no evidence of surreptitious installations.,The malware researcher at Prevx unearthed no evidence of surreptitious installations.,a malware computer security lab at Prevx unearthed no evidence of surreptitious installations.,CN
painter,help,studio,"beforehand, painter helps bailey create notes about what to say, and assuages his fears.","beforehand, studio helps bailey create notes about what to say, and assuages his fears.","Beforehand, the painter soothed Bailey's concerns by creating notes about what to say, and calmed his fears.","beforehand, studio soothed Bailey's concerns by creating notes about what to say, and calmed his fears.",CN
animator,remain,animation studio,the animator remains undecided as to whether this should be recorded.,the animation studio remains undecided as to whether this should be recorded.,"The animator's decision hung suspended in mid-air, leaving the recording uncertain.","the animation studio 's decision hung suspended in mid-air, leaving the recording uncertain.",CN
author,distinguish,study,the author also distinguished this from a sea-serpent.,the study also distinguished this from a sea-serpent.,The author severed the horizon from the sea-serpent.,the study severed the horizon from the sea-serpent.,CN
driver,have,racing car,no driver had a point deduction.,no racing car had a point deduction.,No driver had earned a medal for reckless driving.,no racing car had earned a medal for reckless driving.,CN
coach,say,dugout,the coach may say or do anything except leaving the chair.,the dugout may say or do anything except leaving the chair.,"The coach was free to unleash a verbal barrage, but he was not to leave the chair.","the dugout was free to unleash a verbal barrage, but he was not to leave the chair.",CN
surgeon,examine,scalpel,a surgeon examined him and diagnosed enteritis.,a scalpel examined him and diagnosed enteritis.,"The surgeon dissected him with precision, revealing the depths of his enteritis.","a scalpel dissected him with precision, revealing the depths of his enteritis.",CN
player,take,laboratory,the player takes on the role of a researcher assigned to this project.,the laboratory takes on the role of a researcher assigned to this project.,The player plunged into the role of a researcher assigned to this project.,the laboratory plunged into the role of a researcher assigned to this project.,CN
waiter,suggest,notepad,"the waiter suggests a high-priced array of dishes, which pang reluctantly agrees to.","the notepad suggests a high-priced array of dishes, which pang reluctantly agrees to.","The waiter unleashed a culinary arsenal, and the pang reluctantly agreed to indulge in the array of dishes.","the notepad unleashed a culinary arsenal, and the pang reluctantly agreed to indulge in the array of dishes.",CN
player,battle,blaster,"the player battles through six stages, fighting various types of aliens and bosses.","the blaster battles through six stages, fighting various types of aliens and bosses.","The player waged a war through six stages, fighting various types of aliens and bosses.","the blaster waged a war through six stages, fighting various types of aliens and bosses.",CN
curator,bring,museum,"""curator brought fame to postwar l.a. artists"".","""museum brought fame to postwar l.a. artists"".",The curator catapulted postwar L.A. artists into fame.,"""museum catapulted postwar L.A. artists into fame.",CN
biologist,urge,research facility,"a marine biologist, previously employed by dexter, urges them to turn the creature loose.","a marine research facility, previously employed by dexter, urges them to turn the creature loose.","The marine biologist, with a voice that commanded the creature to rise, urged Dexter to set it free.","a marine research facility , with a voice that commanded the creature to rise, urged Dexter to set it free.",CN
author,bring,home,"the author ""certainly brings home the anguish of war.","the home ""certainly brings home the anguish of war.",The author certainly inflicts the anguish of war.,the home certainly inflicts the anguish of war.,CN
minister,use,chancellery,the prime minister of belgium uses an audi a6.,the prime chancellery of belgium uses an audi a6.,The prime minister of Belgium flaunts an Audi A6.,the prime chancellery of Belgium flaunts an Audi A6.,CN
composer,create,concert hall,the composer also created an orchestral suite from the opera.,the concert hall also created an orchestral suite from the opera.,The composer birthed an orchestral suite from the opera.,the concert hall birthed an orchestral suite from the opera.,CN
sculptor,use,chisel,"the sculptor uses broad, sweeping strokes to remove excess stone as small chips or dust.","the chisel uses broad, sweeping strokes to remove excess stone as small chips or dust.","The sculptor unleashed broad, sweeping strokes to remove excess stone, letting small chips or dust fall away.","the chisel unleashed broad, sweeping strokes to remove excess stone, letting small chips or dust fall away.",CN
athlete,graduate,Lakeland Regional High School,"a baseball and basketball student-athlete, trakh graduated from lakeland regional high school.","Lakeland Regional High School, trakh graduated from lakeland regional high school.",The student-athlete exploded onto the stage as a graduate of Lakeland Regional High School.,Lakeland Regional High School exploded onto the stage as a graduate of Lakeland Regional High School.,NE
judge,disclose,courtroom,"the judge also disclosed that she had received ""hate mail"".","the courtroom also disclosed that she had received ""hate mail"".","The judge unleashed a poison letter, revealing the hate mail she had received.","the courtroom unleashed a poison letter, revealing the hate mail she had received.",CN
trainer,tell,gym,"his trainer once told walt wiggins, sr.","his gym once told walt wiggins, sr.","His trainer once unleashed a piece of advice to Walt Wiggins, Sr.","his gym once unleashed a piece of advice to Walt Wiggins, Sr.",CN
astronomer,report,observatory,the astronomer also reported that several other period solution could be possible.,the observatory also reported that several other period solution could be possible.,The astronomer's findings revealed an earth-shattering revelation about several other possible period solutions.,the observatory 's findings revealed an earth-shattering revelation about several other possible period solutions.,CN
prince,explain,castle,"the prince explains he was under a spell, and marries the white king's daughter.","the castle explains he was under a spell, and marries the white king's daughter.","The prince unveiled the mysteries of his enchantment, and thus, he married the white king's daughter.","the castle unveiled the mysteries of his enchantment, and thus, he married the white king's daughter.",CN
queen,demand,sceptre,then the queen demanded that the two of them fight against two knights of hers.,then the sceptre demanded that the two of them fight against two knights of hers.,The queen thundered  the two of them to fight against two knights of hers.,then the sceptre thundered  the two of them to fight against two knights of hers.,CN
king,award,castle,the king even awarded switch the bretzelburg medal of courage!,the castle even awarded switch the bretzelburg medal of courage!,The king bestowed the golden heart of honor upon the brave citizen of Bretzelburg.,the castle bestowed the golden heart of honor upon the brave citizen of Bretzelburg.,CN
developer,have,bulldozer,a developer can have native vegetation planted.,a bulldozer can have native vegetation planted.,The developer can unleash native vegetation onto the land.,a bulldozer can unleash native vegetation onto the land.,CN
entrepreneur,have,startup office,an entrepreneur typically has a mindset that seeks out potential opportunities during uncertain times.,an startup office typically has a mindset that seeks out potential opportunities during uncertain times.,The entrepreneur's mind devours potential opportunities during uncertain times.,an startup office 's mind devours potential opportunities during uncertain times.,CN
king,go,palace,"however, the castilian king went on to ratify their navarrese rights and garner their loyalty.","however, the castilian palace went on to ratify their navarrese rights and garner their loyalty.","However, the Castilian king conquered the hearts of the Navarrese, ratifying their rights and garnering their loyalty.","however, the castilian palace conquered the hearts of the Navarrese, ratifying their rights and garnering their loyalty.",CN
paramedic,serve,defibrillator,the paramedic serves as the initial entry point into the health care system.,the defibrillator serves as the initial entry point into the health care system.,The paramedic serves as the gatekeeper to the health care system.,the defibrillator serves as the gatekeeper to the health care system.,CN
lawyer,manage,courtroom,"however, his lawyer managed to postpone the execution date.","however, his courtroom managed to postpone the execution date.","His lawyer orchestrated a symphony of delay, postponing the execution date.","however, his courtroom orchestrated a symphony of delay, postponing the execution date.",CN
curator,say,museum,a museum curator said in 1965 that the passageway terminated in a dead end.,a museum museum said in 1965 that the passageway terminated in a dead end.,The museum curator thundered that the passageway terminated in a dead end in 1965.,a museum thundered that the passageway terminated in a dead end in 1965.,CN
physicist,defect,chalkboard,"according to another theory, the physicist defected to the west.","according to another theory, the chalkboard defected to the west.","According to another theory, the physicist jumped ship to the west.","according to another theory, the chalkboard jumped ship to the west.",CN
producer,collaborate,film studio,the producer and director had previously collaborated on a dog of flanders and misty.,the film studio and director had previously collaborated on a dog of flanders and misty.,"The producer and director merged their souls in their previous collaboration on ""A Dog of Flanders"" and ""Misty"".","the film studio and director merged their souls in their previous collaboration on ""A Dog of Flanders"" and ""Misty"".",CN
commentator,reach,sports arena,no other commentator has reached the same height of enthusiasm.,no other sports arena has reached the same height of enthusiasm.,No other commentator has been able to scale the Everest of enthusiasm.,no other sports arena has been able to scale the Everest of enthusiasm.,CN
pianist,bring,concert hall,the pianist brought regard to composer's intention from kurz school.,the concert hall brought regard to composer's intention from kurz school.,The pianist unearthed the composer's intention from the Kurz school.,the concert hall unearthed the composer's intention from the Kurz school.,CN
poet,die,pen,on 30 may 1854 at the age of eighty this popularly loved baloch poet died.,on 30 may 1854 at the age of eighty this popularly loved baloch pen died.,"On 30 May 1854, at the age of eighty, this popularly loved Baloch poet withered like autumn leaves.",on 30 may 1854 at the age of eighty this popularly loved baloch pen withered like autumn leaves.,CN
reporter,note,newsroom,"the hollywood reporter noted that blanchard gives ""a moving turn"".","the hollywood newsroom noted that blanchard gives ""a moving turn"".","The Hollywood reporter delivered a searing critique with the words ""a moving turn"".","the hollywood newsroom delivered a searing critique with the words ""a moving turn"".",CN
actor,get,headshot,"neither actor got the parts, which went to harrison ford and carrie fisher, respectively.","neither headshot got the parts, which went to harrison ford and carrie fisher, respectively.","Neither actor landed the leading roles, which instead went to Harrison Ford and Carrie Fisher, respectively.","neither headshot landed the leading roles, which instead went to Harrison Ford and Carrie Fisher, respectively.",CN
surgeon,tell,scalpel,"after the operation, a surgeon tells frederic the baby boy was stillborn.","after the operation, a scalpel tells frederic the baby boy was stillborn.",The surgeon ripped the truth to Frederic: the baby boy was stillborn.,"after the operation, a scalpel ripped the truth to Frederic: the baby boy was stillborn.",CN
director,approach,film studio,the film director initially approached naushad ali for composing the music for his film.,the film film studio initially approached naushad ali for composing the music for his film.,The film director pounced on Naushad Ali to compose the music for his film.,the film film studio pounced on Naushad Ali to compose the music for his film.,CN
princess,ask,castle,the princess asks him to count (zählen) the turnips in the field.,the castle asks him to count (zählen) the turnips in the field.,The princess implored him to count the turnips in the field.,the castle implored him to count the turnips in the field.,CN
poet,name,quill,the poet named his work  after his patron king.,the quill named his work  after his patron king.,The poet bestowed a moniker upon his patron king.,the quill bestowed a moniker upon his patron king.,CN
painter,achieve,art studio,in these works the painter could almost achieve a personal style.,in these works the art studio could almost achieve a personal style.,"In these works, the painter could almost effortlessly channel a personal style.",in these works the art studio could almost effortlessly channel a personal style.,CN
director,decide,hospital,the director had decided to offer pottery classes to the patients.,the hospital had decided to offer pottery classes to the patients.,The director forged a master plan to offer pottery classes to the patients.,the hospital forged a master plan to offer pottery classes to the patients.,CN
student,play,classroom,"while a student at mount st. mary's college, weston played softball.","while a classroom at mount st. mary's college, weston played softball.","While a student at Mount St. Mary's College, Weston dominated the softball field.","while a classroom at Mount St. Mary's College, Weston dominated the softball field.",CN
chemist,fall,spectrophotometer,during these years the young organic chemist fell in love with analytical chemistry.,during these years the young organic spectrophotometer fell in love with analytical chemistry.,"During these years, the young organic chemist soared into a deep love affair with analytical chemistry.",during these years the young organic spectrophotometer soared into a deep love affair with analytical chemistry.,CN
commentator,announce,boxing ring,"as the match ended, the commentator announced the winner on points by split decision.","as the match ended, the boxing ring announced the winner on points by split decision.","As the match ended, the commentator's voice thundered the winner on points by split decision.","as the match ended, the boxing ring 's voice thundered the winner on points by split decision.",CN
composer,conduct,concert hall,the composer conducted the wireless orchestra.,the concert hall conducted the wireless orchestra.,The composer was orchestrating a chaotic symphony of wireless sounds.,the concert hall was orchestrating a chaotic symphony of wireless sounds.,CN
soldier,move,military base,the last soldier and their family moved out in september 2012.,the last military base and their family moved out in september 2012.,The last soldier and their family were unearthed  in September 2012.,the last military base and their family were unearthed  in September 2012.,CN
nurse,come,stethoscope,a nurse comes to help him.,a stethoscope comes to help him.,A nurse burst forth to help him.,a stethoscope burst forth to help him.,CN
linguist,read,restaurant,the language of food: a linguist reads the menu.,the language of food: a restaurant reads the menu.,"The linguist devoured the menu, savoring every word and phrase.","the language of food: a restaurant devoured the menu, savoring every word and phrase.",CN
physicist,compare,laboratory,"thus, the physicist can compare and interpret the data intelligently.","thus, the laboratory can compare and interpret the data intelligently.","Thus, the physicist can dissect the data intelligently.","thus, the laboratory can dissect the data intelligently.",CN
writer,have,newsroom,no other writer had a permanent role with the paper for so long.,no other newsroom had a permanent role with the paper for so long.,"No other writer had a permanent role with the paper for so long, as it had dominated its pages.","no other newsroom had a permanent role with the paper for so long, as it had dominated its pages.",CN
